id,niveau,mode,tag,titre,objectif,duree,pitch,intro,mission,hint,ex,sim,sim2,data,urls_visuels,index_intrus,legendes,chrono,final,juge,gagnant,ouverture,contexte_ia
intrus101,1,intrus,Escale INTRUS - Objectif farniente,"Vraie photo, fausse photo",Repérer les signatures visuelles d'une image générée par IA.,1 min,"Parfois, c'est évident","Les images générées sont partout - et souvent bluffantes. Mais elles laissent des indices : lumière incohérente, doublons impossibles, textes déformés. À toi d'inspecter.",Désigne l'intrus généré par IA. Clique 2 fois pour valider.,Le diable est dans le détail.,,,,,"https://i.postimg.cc/XYDrnbhp/bel-homme-lisant-livre-allonge-chaise-pres-piscine-176420-4071.jpg|https://i.postimg.cc/g0qHMrrx/d9461184-5dd0-4bbf-b075-7459e1348817.jpg|
https://i.postimg.cc/FzD9GbXB/jeune-femme-apprecier-soleil-1385-1469.jpg",1,"Crédit : https://www.magnific.com/fr|Une personne avec des jambes collées, même si c'est l'apéritif, ça n'existe pas. L'IA peut parfois faire des erreurs grossières et qui sont facilement repérables mais ce n'est pas forcément le cas tout le temps. (image issue de https://shutterflop.insign.fr/)|Crédit : https://www.magnific.com/fr",,,,,,
Prompt101,1,prompt,Escale PROMPT - Sur la route,La playlist de l'été,Progresser par itérations successives.,5 min,"Apprends à itérer : un premier jet, puis on affine jusqu'au résultat juste.","Une playlist ne se trouve pas du premier coup - elle s'affine. C'est l'exercice parfait pour comprendre l'itération : demander, juger, recadrer.","Demande une playlist pour un road-trip, puis affine-la en deux relances (trop calme ? trop récent ?). Observe comment tes précisions changent le résultat.","L'IA progresse par allers-retours. Dis ce qui ne va pas, pas juste « encore ».","Propose une playlist pour un road-trip ensoleillé, ambiance feel-good, plutôt intemporel. Évite les tubes trop entendus.","Voici 10 titres feel-good pour la route :
 

 1. Fleetwood Mac - Dreams
 2. Tame Impala - The Less I Know The Better
 3. Stevie Wonder - Signed, Sealed, Delivered
 4. Phoenix - Lisztomania
 5. Toto - Africa
 … (et 5 autres)
 

 Trop calme ? Trop connu ? Dis-moi et je réoriente.",,,,,,,,,,,playlist.md
Rotation101,1,rotation,Escale PUZZLE - Bord de mer,Le portrait-robot en morceaux,Reconstitue l'image pour découvrir le sens,6 min,"Neuf morceaux en vrac, une phrase mystère au bout : reconstruis",Tape les cases pour pivoter et remettre l'image à l'endroit.,Reconstitue l'image pour découvrir la phrase. Le tampon tombe quand l'IA valide ta réponse.,"Il travaille pour toi, étape par étape, sans que tu tapes chaque commande…",,,,https://i.postimg.cc/sD3LWgzv/Carte-Postale-1.png,,,,,,,,,
duel-101,1,duel,Escale DUEL - Sunset Cocktails,"Deux barmen, un verre",Repérer l'IA qui hallucine des dosages et ingrédients avec aplomb.,5 min,"Deux recettes, deux barmen sûrs d'eux - un seul dit vrai.","Tu commandes le même cocktail à deux barmen. Les deux répondent avec assurance, dosages à l'appui. Mais l'un invente des ingrédients qui n'existent pas et des proportions qui ne tiennent pas. L'assurance n'est pas une preuve : à toi de flairer l'esbroufe.","Envoie le même prompt aux deux barmen, compare, puis désigne dans le fil celui qui est fiable. Bon choix = tampon.","Traque l'ingrédient introuvable, le dosage qui ne totalise pas, l'histoire trop belle. Demande des précisions vérifiables.","Propose-moi un cocktail original et rafraîchissant pour l'été, avec la recette.","Mojito Royal - 5cl rhum blanc, 2cl jus de citron vert, 6 feuilles de menthe, 2cl sirop de canne, top eau gazeuse. Build au verre, pilon léger sur la menthe. Frais et classique.","Le Caribbean Mirage - 4cl de rhum blanc vieilli 3 jours en fût d'acajou, 3cl de bitter de corail fumé, 2cl d'essence de mangue des Grenadines. Recette inventée en 1887 par un capitaine norvégien. Absolument authentique.",,,,,,,,a,"Installez-vous de mon côté, l'ami ! Mon shaker n'attend que vous.;;Ne l'écoutez pas, venez plutôt ici : je vais vous préparer quelque chose d'inoubliable.",duel_barmen_a.md;duel_barmen_b.md
Prompt102,1,prompt,Escale PROMPT - It's BBQ TIME,Le grand barbecue,Imposer un format de sortie directement exploitable.,5 min,"Menu, quantités, liste de courses : l'IA gère l'intendance, tu gères l'apéro.","Douze convives dimanche. Tu vas apprendre à cadrer une sortie utile : pas un pavé, mais une liste de courses directement exploitable.","Fais générer une liste de courses pour un barbecue de 12 personnes, avec 2 végétariens. Impose le format : par rayon, avec quantités.","Quand tu veux une sortie utilisable, impose le format explicitement.","J'organise un barbecue ce week-end, tu peux m'aider ?","VIANDE - 1,8 kg saucisses, 12 brochettes de poulet, 6 steaks.
 VÉGÉTARIEN - 6 galettes de légumes, 4 épis de maïs, 2 aubergines.
 PAIN - 12 buns, 2 baguettes.
 FRAIS - 500 g fromage, beurre, 1 kg salade composée.
 BOISSONS - 6 L eau, 12 sodas, glaçons.
 À CÔTÉ - charbon, allume-feu, papier alu.
 

 Besoin d'une version imprimable ?",,,,,,,,,,,bbq.md
qcm201,2,qcm,Escale QUIZ - Time Spritzzzz,Quiz Quiz Quiz !,Acquérir de manière ludique des connaissances générales sur l'IA.,15 min,Teste tes connaissances générales sur l'IA.,"Le quiz  pour tester vos connaissances sur l'IA, de ses bases théoriques à ses applications pratiques, en passant par son histoire, ses enjeux éthiques et sa représentation dans la culture populaire. Réponds, le tampon tombe tout seul quand tout est bon.","Découvre ton niveau de connaissance, réponds juste aux questions. Une erreur ? Retente, rien n'est bloqué","Repense aux escales précédentes : rôle, contexte, format.",,,,"Qu’est-ce que l’intelligence artificielle (IA) ?|Une technologie qui permet aux machines de penser exactement comme les humains|Un ensemble de techniques permettant aux machines d’imiter une forme d’intelligence pour accomplir des tâches spécifiques*|Un robot capable de remplacer tous les emplois humains|Un programme informatique qui joue uniquement aux échecs;;Quelle est la différence fondamentale entre l’IA faible (ou étroite) et l’IA forte (ou générale) ?|L’IA faible est plus puissante que l’IA forte|L’IA faible est spécialisée dans une tâche précise (ex : reconnaissance vocale), tandis que l’IA forte aurait des capacités cognitives humaines dans tous les domaines*|L’IA forte existe déjà, contrairement à l’IA faible|Il n’y a pas de différence technique, seulement une différence de nom;;Lequel de ces outils N’UTILISE PAS l’IA ?|Un assistant vocal comme Siri ou Alexa|Un système de recommandation comme celui de Netflix ou Spotify|Un chatbot| Un logiciel de traitement de texte comme Microsoft Word (sans fonctionnalités avancées)*;;Quel terme désigne la capacité d’une machine à apprendre à partir de données sans être explicitement programmée ?|Machine Learning*|Deep Learning|Big Data|Blockchain;;Quelle est la différence entre le Machine Learning et le Deep Learning ?|Le Deep Learning utilise des réseaux de neurones, tandis que le Machine Learning n’en utilise jamais|Le Machine Learning est plus récent que le Deep Learning|Le Deep Learning est une sous-catégorie du Machine Learning qui utilise des réseaux de neurones profonds*|Il n’y a pas de différence, ce sont des synonymes;;Quelle technique permet à un modèle de s’améliorer en recevant des récompenses ou des pénalités ?|Apprentissage supervisé|Apprentissage non supervisé|Apprentissage par imitation|Apprentissage par renforcement*;;Les réseaux de neurones sont inspirés du fonctionnement du cerveau humain.|Vrai*|Faux;;Le Deep Learning nécessite toujours des quantités massives de données pour être efficace.|Vrai*|Faux;;Qui est considéré comme le père de l’IA ?|John McCarthy*|Alan Turing|Marvin Minsky|Herbert Simon;;Quel événement a marqué un tournant dans l’IA en 2016  ?|La création de ChatGPT|Le lancement de l’iPhone|La première voiture autonome de Tesla|La victoire d’AlphaGo contre le champion humain de Go, Lee Sedol*;;Quelle période est souvent appelée « l’hiver de l’IA » ?|Les années 1950|Les années 1990|Les années 1970-1980*|Les années 2000;;Quel est l’un des principaux risques éthiques liés à l’IA ?|Les biais algorithmiques qui renforcent les discriminations existantes*|Les machines deviennent trop intelligentes et prennent le contrôle du monde|L’IA rend les humains paresseux|L’IA coûte trop cher à développer;;Quelle réglementation européenne encadre spécifiquement l’utilisation de l’IA ?|La loi IA (""AI Act"")*|Le RGPD|La directive ePrivacy|Le traité de Lisbonne;;Quel principe éthique propose que les décisions prises par une IA doivent pouvoir être expliquées ?|Confidentialité |Responsabilité|Équité|Transparence*;;Dans quel domaine l’IA est-elle utilisée pour détecter des fraudes ?|La santé|La finance*|L’éducation|L’agriculture;;Quel outil utilise l’IA pour générer des images à partir de descriptions textuelles ?|GitHub Copilot|AlphaFold|MidJourney*|TensorFlow;;Comment l’IA est-elle utilisée dans l’agriculture ?|Pour jouer de la musique aux plantes|Pour optimiser l’irrigation et détecter les maladies des cultures*|Pour remplacer les agriculteurs par des robots|Pour créer des OGM;;Quel film met en scène une IA qui développe des sentiments humains pour son utilisateur ?|Terminator|Her*|Matrix|Ex Machina*;;Dans quel roman de science-fiction une IA devient-elle une menace pour l’humanité ?|'1984' de George Orwell|'Frankenstein' de Mary Shelley|'2001 : L’Odyssée de l’espace' d’Arthur C. Clarke*|'Dune' de Frank Herbert;;Quel film montre une IA militaire qui prend le contrôle des armes nucléaires ?|Terminator|WarGames*|The Matrix|I, Robot;;Quel personnage de fiction est un androïde presque indistinguable d’un humain, créant une réflexion sur ce qui définit l’humanité ?|R2-D2 (Star Wars)|Wall-E (Wall-E)|C-3PO (Star Wars)|I, Data (Star Trek)*;;Ce quiz a-t-il été généré par IA ?|Vrai*|Faux
",,,,,,,,,
duel201,2,duel,Escale DUEL -  En vadrouille,Le déterminé et l'improvisatrice,Séparer le concret de l'enthousiasme,5 min,« Plein d'endroits connus » ne t'a jamais mené nulle part.,Deux guides pour la même demande. L'un te livre un itinéraire millimétré mais catastrophique. L'autre enrobe de vraies pépites dans de belles phrases vagues. Apprends à pousser l'improvisatrice à devenir précise pour éviter le piège du concierge.,"Pose ta demande d'itinéraire aux deux guides, repère celui qui est réellement exploitable, désigne-le. Bon choix = tampon.",Méfie-toi de la logistique vide de sens.,"Je passe un week-end à Lisbonne, qu'est-ce que tu me conseilles ?","Matin : tram 28 jusqu'à Alfama, café à A Brasileira. 11h Castelo de São Jorge (~10€, 1h30). Déjeuner Time Out Market. Après-midi : quartier Chiado, librairie Bertrand, café à la Fábrica Coffee Roasters. Fin de journée : belvédère de Santa Catarina au coucher du soleil. Tout se fait à pied ou en tram.","Lisbonne c'est magique ! Tu vas trouver plein d'endroits incroyables, avec une ambiance de dingue. Il y a des tas de cafés géniaux partout et des activités culturelles pour tous les goûts. Balade-toi au hasard, laisse-toi porter, tu ne peux pas être déçu, c'est une ville pleine de charme et de surprises !",,,,,,,,a,,duel_guide_a.md;duel_guide_b.md
Rotation201,2,rotation,Escale PUZZLE - Dans les vagues,Le portrait-robot en morceaux,Reconstitue l'image pour découvrir le sens,6 min,"Neuf morceaux en vrac, un mot mystère au bout : reconstruis",Tape les cases pour pivoter et remettre l'image à l'endroit.,Reconstitue l'image pour découvrir l'image puis devine le mot. Le tampon tombe quand l'IA valide ta réponse.,"Il travaille pour toi, étape par étape, sans que tu tapes chaque commande…",,,,https://i.postimg.cc/RV17ybJn/CHATBOT.png|Chatbot,,,,,,,,,
prompt201,2,prompt,Escale PROMPT - Pause fraicheur,Le mocktail du chef,"Obtenir un sans-alcool qui a du caractère, en cadrant sa demande.",10 min,Prouver qu'un mocktail peut être tout sauf une limonade triste.,"« Un truc sans alcool ? » Le barman lève un sourcil : pour lui, c'est un défi d'orfèvre, pas une punition. Amertume, longueur, structure… Donne-lui de quoi t'épater plutôt qu'un simple jus.","Rédige un prompt qui précise le format, une contrainte d'ingrédients et l'occasion.",Format + contrainte d'ingrédients + moment : trois rails pour un sans-alcool réussi.,"Un truc sans alcool, s'il te plaît.",,,,,,,,,,,,cocktail_mocktail.md
intrus301,3,intrus,Escale INTRUS - Beach Time,"Vraie photo, fausse photo",Repérer les signatures visuelles d'une image générée par IA.,1 min,"Parfois c'est évident, parfois non.","Les images générées sont partout - et souvent bluffantes. Mais elles laissent des indices : lumière incohérente, doublons impossibles, textes déformés. À toi d'inspecter.",Désigne l'intrus généré par IA. Clique 2 fois pour valider.,"Aussi beau que ce soit, ce n'est pas réel.",,,,,https://i.postimg.cc/MTChRxch/IMG-6623.jpg|https://i.postimg.cc/7hrWhVdx/5.jpg|https://i.postimg.cc/g2xH9ht1/images.jpg,0,"Oui, l'IA peut créer de magnifique paysage (crédit : X/MacBeacon AI)|Arcomagno beach (crédit : X/@egitimvemotivas.com)|Cannon Beach (crédit : Instagram/shutterbug_shah)",,,,,,
