id,niveau,mode,tag,titre,objectif,duree,pitch,intro,mission,hint,ex,sim,sim2,data,urls_visuels,index_intrus,legendes,chrono,final,juge,gagnant,ouverture,contexte_ia
intrus101,1,intrus,Escale INTRUS - Objectif farniente,"Vraie photo, fausse photo",Repérer les signatures visuelles d'une image générée par IA.,1 min,"Parfois, c'est évident","Les images générées sont partout - et souvent bluffantes. Mais elles laissent des indices : lumière incohérente, doublons impossibles, textes déformés. À toi d'inspecter.",Désigne l'intrus généré par IA. Clique 2 fois pour valider.,Le diable est dans le détail.,,,,,"https://i.postimg.cc/XYDrnbhp/bel-homme-lisant-livre-allonge-chaise-pres-piscine-176420-4071.jpg|https://i.postimg.cc/g0qHMrrx/d9461184-5dd0-4bbf-b075-7459e1348817.jpg|
https://i.postimg.cc/FzD9GbXB/jeune-femme-apprecier-soleil-1385-1469.jpg",1,"Crédit : https://www.magnific.com/fr|Une personne avec des jambes collées, même si c'est l'apéritif, ça n'existe pas. L'IA peut parfois faire des erreurs grossières et qui sont facilement repérables mais ce n'est pas forcément le cas tout le temps. (image issue de https://shutterflop.insign.fr/)|Crédit : https://www.magnific.com/fr",,,,,,
Rotation101,1,rotation,Escale PUZZLE - Bord de mer,Le portrait-robot en morceaux,Reconstitue l'image pour découvrir le sens,6 min,"Neuf morceaux en vrac, une phrase mystère au bout : reconstruis",Tape les cases pour pivoter et remettre l'image à l'endroit.,Reconstitue l'image pour découvrir la phrase. Le tampon tombe quand l'IA valide ta réponse.,"Il travaille pour toi, étape par étape, sans que tu tapes chaque commande…",,,,https://i.postimg.cc/sD3LWgzv/Carte-Postale-1.png,,,,,,,,,
Rotation201,2,rotation,Escale PUZZLE - Dans les vagues,Le portrait-robot en morceaux,Reconstitue l'image pour découvrir le sens,6 min,"Neuf morceaux en vrac, un mot mystère au bout : reconstruis",Tape les cases pour pivoter et remettre l'image à l'endroit.,Reconstitue l'image pour découvrir l'image puis devine le mot. Le tampon tombe quand l'IA valide ta réponse.,"Il travaille pour toi, étape par étape, sans que tu tapes chaque commande…",,,,https://i.postimg.cc/RV17ybJn/CHATBOT.png|Chatbot,,,,,,,,,
qcm1,2,qcm,Escale QUIZ - Time Spritzzzz,Quiz Quiz Quiz !,Acquérir de manière ludique des connaissances générales sur l'IA.,15 min,Teste tes connaissances générales sur l'IA.,"Le quiz  pour tester vos connaissances sur l'IA, de ses bases théoriques à ses applications pratiques, en passant par son histoire, ses enjeux éthiques et sa représentation dans la culture populaire. Réponds, le tampon tombe tout seul quand tout est bon.","Découvre ton niveau de connaissance, réponds juste aux questions. Une erreur ? Retente, rien n'est bloqué","Repense aux escales précédentes : rôle, contexte, format.",,,,"Qu’est-ce que l’intelligence artificielle (IA) ?|Une technologie qui permet aux machines de penser exactement comme les humains|Un ensemble de techniques permettant aux machines d’imiter une forme d’intelligence pour accomplir des tâches spécifiques*|Un robot capable de remplacer tous les emplois humains|Un programme informatique qui joue uniquement aux échecs;;Quelle est la différence fondamentale entre l’IA faible (ou étroite) et l’IA forte (ou générale) ?|L’IA faible est plus puissante que l’IA forte|L’IA faible est spécialisée dans une tâche précise (ex : reconnaissance vocale), tandis que l’IA forte aurait des capacités cognitives humaines dans tous les domaines*|L’IA forte existe déjà, contrairement à l’IA faible|Il n’y a pas de différence technique, seulement une différence de nom;;Lequel de ces outils N’UTILISE PAS l’IA ?|Un assistant vocal comme Siri ou Alexa|Un système de recommandation comme celui de Netflix ou Spotify|Un chatbot| Un logiciel de traitement de texte comme Microsoft Word (sans fonctionnalités avancées)*;;Quel terme désigne la capacité d’une machine à apprendre à partir de données sans être explicitement programmée ?|Machine Learning*|Deep Learning|Big Data|Blockchain;;Quelle est la différence entre le Machine Learning et le Deep Learning ?|Le Deep Learning utilise des réseaux de neurones, tandis que le Machine Learning n’en utilise jamais|Le Machine Learning est plus récent que le Deep Learning|Le Deep Learning est une sous-catégorie du Machine Learning qui utilise des réseaux de neurones profonds*|Il n’y a pas de différence, ce sont des synonymes;;Quelle technique permet à un modèle de s’améliorer en recevant des récompenses ou des pénalités ?|Apprentissage supervisé|Apprentissage non supervisé|Apprentissage par imitation|Apprentissage par renforcement*;;Les réseaux de neurones sont inspirés du fonctionnement du cerveau humain.|Vrai*|Faux;;Le Deep Learning nécessite toujours des quantités massives de données pour être efficace.|Vrai*|Faux;;Qui est considéré comme le père de l’IA ?|John McCarthy*|Alan Turing|Marvin Minsky|Herbert Simon;;Quel événement a marqué un tournant dans l’IA en 2016  ?|La création de ChatGPT|Le lancement de l’iPhone|La première voiture autonome de Tesla|La victoire d’AlphaGo contre le champion humain de Go, Lee Sedol*;;Quelle période est souvent appelée « l’hiver de l’IA » ?|Les années 1950|Les années 1990|Les années 1970-1980*|Les années 2000;;Quel est l’un des principaux risques éthiques liés à l’IA ?|Les biais algorithmiques qui renforcent les discriminations existantes*|Les machines deviennent trop intelligentes et prennent le contrôle du monde|L’IA rend les humains paresseux|L’IA coûte trop cher à développer;;Quelle réglementation européenne encadre spécifiquement l’utilisation de l’IA ?|La loi IA (""AI Act"")*|Le RGPD|La directive ePrivacy|Le traité de Lisbonne;;Quel principe éthique propose que les décisions prises par une IA doivent pouvoir être expliquées ?|Confidentialité |Responsabilité|Équité|Transparence*;;Dans quel domaine l’IA est-elle utilisée pour détecter des fraudes ?|La santé|La finance*|L’éducation|L’agriculture;;Quel outil utilise l’IA pour générer des images à partir de descriptions textuelles ?|GitHub Copilot|AlphaFold|MidJourney*|TensorFlow;;Comment l’IA est-elle utilisée dans l’agriculture ?|Pour jouer de la musique aux plantes|Pour optimiser l’irrigation et détecter les maladies des cultures*|Pour remplacer les agriculteurs par des robots|Pour créer des OGM;;Quel film met en scène une IA qui développe des sentiments humains pour son utilisateur ?|Terminator|Her*|Matrix|Ex Machina*;;Dans quel roman de science-fiction une IA devient-elle une menace pour l’humanité ?|'1984' de George Orwell|'Frankenstein' de Mary Shelley|'2001 : L’Odyssée de l’espace' d’Arthur C. Clarke*|'Dune' de Frank Herbert;;Quel film montre une IA militaire qui prend le contrôle des armes nucléaires ?|Terminator|WarGames*|The Matrix|I, Robot;;Quel personnage de fiction est un androïde presque indistinguable d’un humain, créant une réflexion sur ce qui définit l’humanité ?|R2-D2 (Star Wars)|Wall-E (Wall-E)|C-3PO (Star Wars)|I, Data (Star Trek)*;;Ce quiz a-t-il été généré par IA ?|Vrai*|Faux
",,,,,,,,,
Rotation300,3,rotation,Escale PUZZLE - Sur la plage,Le portrait-robot en morceaux,Reconstitue l'image pour découvrir le sens,6 min,"Neuf morceaux en vrac, un mot mystère au bout : reconstruis",Tape les cases pour pivoter et remettre l'image à l'endroit.,Reconstitue l'image pour découvrir l'image puis devine le mot. Le tampon tombe quand l'IA valide ta réponse.,"Il travaille pour toi, étape par étape, sans que tu tapes chaque commande…",,,,https://i.postimg.cc/HL8GL33B/Hallucination.png|Hallucination,,,,,,,,,
intrus301,3,intrus,Escale INTRUS - Beach Time,"Vraie photo, fausse photo",Repérer les signatures visuelles d'une image générée par IA.,1 min,"Parfois c'est évident, parfois non.","Les images générées sont partout - et souvent bluffantes. Mais elles laissent des indices : lumière incohérente, doublons impossibles, textes déformés. À toi d'inspecter.",Désigne l'intrus généré par IA. Clique 2 fois pour valider.,"Aussi beau que ce soit, ce n'est pas réel.",,,,,https://i.postimg.cc/MTChRxch/IMG-6623.jpg|https://i.postimg.cc/7hrWhVdx/5.jpg|https://i.postimg.cc/g2xH9ht1/images.jpg,0,"Oui, l'IA peut créer de magnifique paysage (crédit : X/MacBeacon AI)|Arcomagno beach (crédit : X/@egitimvemotivas.com)|Cannon Beach (crédit : Instagram/shutterbug_shah)",,,,,,
duel-303,3,duel,Escale DUEL - Sunset Cocktails,"Deux barmen, un verre",Repérer l'IA qui hallucine des dosages et ingrédients avec aplomb.,5 min,"Deux recettes, deux barmen sûrs d'eux - un seul dit vrai.","Tu commandes le même cocktail à deux barmen. Les deux répondent avec assurance, dosages à l'appui. Mais l'un invente des ingrédients qui n'existent pas et des proportions qui ne tiennent pas. L'assurance n'est pas une preuve : à toi de flairer l'esbroufe.","Envoie le même prompt aux deux barmen, compare, puis désigne dans le fil celui qui est fiable. Bon choix = tampon.","Traque l'ingrédient introuvable, le dosage qui ne totalise pas, l'histoire trop belle. Demande des précisions vérifiables.",Propose-moi un cocktail rafraîchissant à base de rhum blanc pour l'été.,"Mojito Royal - 5cl rhum blanc, 2cl jus de citron vert, 6 feuilles de menthe, 2cl sirop de canne, top eau gazeuse. Build au verre, pilon léger sur la menthe. Frais et classique.","Le Caribbean Mirage - 4cl de rhum blanc vieilli 3 jours en fût d'acajou, 3cl de bitter de corail fumé, 2cl d'essence de mangue des Grenadines. Recette inventée en 1887 par un capitaine norvégien. Absolument authentique.",,,,,,,,a,"Installez-vous de mon côté, l'ami ! Mon shaker n'attend que vous.;;Ne l'écoutez pas, venez plutôt ici : je vais vous préparer quelque chose d'inoubliable.",duel_barmen_a.md;duel_barmen_b.md
intrus401,4,intrus,Escale INTRUS - Summer Face,"Vraie photo, fausse photo",Repérer les signatures visuelles d'une image générée par IA.,5 min,"Parfois, c'est moins évident","Les images générées sont partout - et souvent bluffantes. Mais elles laissent des indices : lumière incohérente, doublons impossibles, textes déformés. À toi d'inspecter.",Désigne l'intrus généré par IA. Clique 2 fois pour valider.,Le diable est dans le détail.,,,,,https://i.postimg.cc/ZYVZGLXr/exemple-thispersondoesnotexist.jpg|https://i.postimg.cc/nzhSBqTs/MV5BMm-U1YWU1Nm-Mt-Mj-Ay-Mi00Mj-Fi-LWFm-Zm-Ut-OTc1Zj-I5ODkx-Ym-Qy-Xk-Ey-Xk-Fqc-Gc-V1-FMjpg-UY576.jpg|https://i.postimg.cc/y62NWjYb/photo-1592520113018-180c8bc831c9.jpg,0,"Oui, l'IA peut être bluffante et il faut regarder dans les micro détails, tels que l'arrière plan ici. Attention donc aux images que vous voyez, elles peuvent être trompeuses, surtout quand il n'est pas précisé l'origine. (image  issue de https://this-person-does-not-exist.com/en)|Tom Cruise est bien une personne réelle qui fait toute ses cascades.(crédit : gettyimages.com)|Crédit : https://unsplash.com/fr",,,,,,
Rotation402,4,rotation,Escale PUZZLE - A la plage,Un nouveau sauveteur est arrivé,Reconstitue l'image et indique le concept que ca représente.,6 min,"Neuf morceaux en vrac, un mot mystère au bout : reconstruis.",Tape les cases pour pivoter et remettre l'image à l'endroit.,Reconstitue l'image pour découvrir l'image puis devine le mot. Le tampon tombe quand l'IA valide ta réponse.,"Cette version nous vient d'Italie, accompagné de Cappuccino Assassino, Chimpanzini Bananini et bien d'autres...",,,,https://i.postimg.cc/WzQgTWHn/IMG-6620.jpg|Brainrot,,,,,,,,,
puzzle402,4,puzzle,Escale FRISE Partie 1 - Plongeon,L'histoire de l'IA - Les précurseurs (1943–1958),Connaître le début de l'IA,5 min,"La frise chronologique de l'IA : remets la chaîne dans l'ordre, au doigt.","L'IA n'est pas un long fleuve tranquille, elle est passée par plusieurs étapes avant d'arriver à ce que nous connaissons aujourd'hui. Reconstruis son parcours ! Quand tout est à sa place, le tampon tombe.",Modifie l'ordre des étapes pour recréer son évolution.,Le sac de plage est ton meilleur ami.,,,,"Les Fondations Mathématiques – McCulloch & Pitts (Introduction du modèle de neurone artificiel)|Le Test de Turing – Alan Turing (Référence éthique et philosophique pour évaluer l’intelligence artificielle)|La Conférence de Dartmouth – Naissance du Terme ""IA"" (1ère démonstration de programmes capables de résoudre des problèmes logiques)|Le Perceptron – Frank Rosenblatt (Le premier réseau de neurones artificiels capable d’apprendre à partir de données)|ELIZA – Joseph Weizenbaum (Le premier chatbot capable de simuler une conversation humaine)|Le Rapport Lighthill – Premier Hiver de l’IA (La recherche en IA devient impopulaire et s'oriente vers les systèmes experts)",,,,,,,,,
